Designator,Mid X,Mid Y,Layer,Rotation
J1,45.0mm,12.0mm,Top,0.0
J8,25.0mm,57.0mm,Top,0.0
R148,41.8mm,56.2mm,Bottom,180.0
R142,43.2mm,57.1mm,Bottom,180.0
U108,59.3802mm,24.009mm,Top,0.0
VD103,62.2mm,28.595mm,Bottom,270.0
U101,34.15mm,53.4464mm,Top,270.0
C119,41.8001mm,48.7194mm,Bottom,0.0
R147,50.8116mm,56.5163mm,Bottom,0.0
R146,31.1339mm,55.1mm,Bottom,270.0
R141,44.2mm,57.1mm,Bottom,180.0
U102,39.2565mm,51.7285mm,Bottom,180.0
R109,39.3163mm,51.1328mm,Top,180.0
R108,36.4mm,50.744mm,Bottom,180.0
Q103,40.0428mm,53.196799999999996mm,Top,180.0
Q102,44.595mm,55.8mm,Top,180.0
Q101,38.8725mm,56.035mm,Bottom,0.0
Q100,35.5mm,53.394999999999996mm,Bottom,270.0
L100,45.3994mm,37.35mm,Bottom,180.0
F100,47.254999999999995mm,56.0284mm,Bottom,180.0
C120,43.5001mm,37.1995mm,Top,0.0
C107,38.3785mm,53.8mm,Bottom,0.0
C106,38.4035mm,49.456900000000005mm,Bottom,0.0
U110,37.9531mm,47.4049mm,Bottom,270.0
R145,37.9922mm,44.4447mm,Bottom,0.0
R144,37.9922mm,45.3902mm,Bottom,0.0
R143,31.3968mm,33.2312mm,Bottom,270.0
R107,40.1139mm,55.3784mm,Top,0.0
D108,39.7531mm,56.75mm,Top,180.0
U107,61.1065mm,33.203900000000004mm,Bottom,0.0
U106,61.7924mm,46.6318mm,Top,0.0
C134,61.1065mm,31.467599999999997mm,Bottom,0.0
C126,62.0952mm,48.5751mm,Top,180.0
VD102,58.846199999999996mm,28.595mm,Bottom,270.0
VD101,62.2mm,24.205mm,Bottom,90.0
VD100,58.846199999999996mm,24.205mm,Bottom,90.0
U109,59.3802mm,26.484mm,Top,0.0
U103,36.5mm,39.825mm,Bottom,270.0
U100,34.1001mm,46.5005mm,Top,90.0
U195,41.3mm,32.35mm,Top,90.0
U190,55.5mm,32.35mm,Top,90.0
U185,34.2mm,32.35mm,Top,90.0
U180,48.4mm,32.35mm,Top,90.0
S101,50.1997mm,55.6143mm,Top,0.0
S100,61.3465mm,42.5mm,Top,90.0
R140,55.3001mm,26.3mm,Bottom,0.0
R111,31.5mm,37.65mm,Bottom,180.0
R112,31.5mm,38.7mm,Bottom,180.0
R117,31.5mm,43.95mm,Bottom,180.0
R115,31.5mm,41.85mm,Bottom,180.0
R116,31.5mm,42.9mm,Bottom,180.0
R114,31.5mm,40.8mm,Bottom,180.0
R113,31.5mm,39.75mm,Bottom,180.0
R110,31.5mm,36.6mm,Bottom,180.0
R120,61.8183mm,49.787mm,Top,0.0
R100,31.2001mm,46.5mm,Bottom,90.0
R258,51.9577mm,25.7949mm,Bottom,270.0
R255,31.15mm,23.9mm,Bottom,270.0
R256,52.9mm,28.5mm,Bottom,90.0
R254,31.05mm,26.35mm,Top,270.0
R245,48.6001mm,24.85mm,Bottom,0.0
R227,43.8mm,24.85mm,Bottom,0.0
R200,34.2001mm,24.85mm,Bottom,0.0
R197,41.3001mm,33.7mm,Bottom,180.0
R196,41.3mm,30.9mm,Bottom,0.0
R195,44.1501mm,30.4mm,Bottom,270.0
R191,55.4mm,33.7mm,Bottom,180.0
R190,55.4mm,30.9mm,Bottom,0.0
R186,34.2mm,33.7mm,Bottom,180.0
R185,34.2mm,30.9mm,Bottom,0.0
R181,48.4mm,33.7mm,Bottom,180.0
R180,48.4mm,30.9mm,Bottom,0.0
R139,56.5mm,23.8mm,Top,270.0
R138,55.3mm,23.8mm,Top,270.0
R137,54.1mm,23.8mm,Top,270.0
R136,52.9mm,23.8mm,Top,270.0
R135,56.5mm,24.8mm,Top,90.0
R132,55.3mm,24.8mm,Top,90.0
R126,54.1mm,24.8mm,Top,90.0
R124,52.9mm,24.8mm,Top,90.0
R119,32.1mm,37.7mm,Top,90.0
R118,32.1mm,41.8mm,Top,90.0
R253,50.5mm,23.8mm,Top,90.0
R252,49.3mm,23.8mm,Top,90.0
R251,48.1mm,23.8mm,Top,90.0
R250,46.9mm,23.8mm,Top,90.0
R249,50.5mm,24.8mm,Top,270.0
R248,49.3mm,24.8mm,Top,270.0
R247,48.1mm,24.8mm,Top,270.0
R246,46.9mm,24.8mm,Top,270.0
R235,45.7mm,23.8mm,Top,90.0
R234,44.5mm,23.8mm,Top,90.0
R233,43.3mm,23.8mm,Top,90.0
R232,42.1mm,23.8mm,Top,90.0
R231,45.7mm,24.8mm,Top,270.0
R230,44.5mm,24.8mm,Top,270.0
R229,43.3mm,24.8mm,Top,270.0
R228,42.1mm,24.8mm,Top,270.0
R226,40.9mm,23.8mm,Top,270.0
R225,39.7mm,23.8mm,Top,270.0
R224,38.5mm,23.8mm,Top,270.0
R223,37.3mm,23.8mm,Top,270.0
R222,40.9mm,24.8mm,Top,90.0
R221,39.7mm,24.8mm,Top,90.0
R220,38.5mm,24.8mm,Top,90.0
R219,37.3mm,24.8mm,Top,90.0
R218,39.0mm,24.85mm,Bottom,0.0
R208,36.1mm,23.8mm,Top,270.0
