Comment,Designator,Footprint,LCSC Part #
"TE_776231-1","J1","TE_776231",""
"USB_B_Mini","J8","USB-MINI-B-VERTICAL","C13453"
"Module:mega-mcu100/0.3","M1","mega-mcu100",""
"Module:power_12and5V/0.3","M2","power_12and5V",""
"Module:vr-max9924/0.3","M3","vr-max9924",""
"VND14NV04-E","Q1","DPAK",""
"VND14NV04-E","Q2","DPAK",""
"VND14NV04-E","Q3","DPAK",""
"VND14NV04-E","Q4","DPAK",""
"VND14NV04-E","Q5","DPAK",""
"VND14NV04-E","Q6","DPAK",""
"VND14NV04-E","Q7","DPAK",""
"12","R1","R0603",""
"12","R2","R0603",""
"12","R3","R0603",""
"12","R4","R0603",""
"12","R5","R0603",""
"12","R6","R0603",""
"12","R7","R0603",""
"BTN","SW_BOOT","SMD-2_2.9x3.9x1.7","C115357"
"BTN","SW_RESET","SMD-2_2.9x3.9x1.7","C115357"
