Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
J1,45.000000mm,9.000000mm,Top,0.0,45.000000mm,9.000000mm
J8,8.000000mm,57.000000mm,Top,0.0,8.000000mm,57.000000mm
M1,28.000000mm,23.600000mm,Top,0.0,28.000000mm,23.600000mm
M2,3.000000mm,30.000000mm,Top,0.0,3.000000mm,30.000000mm
M3,74.000000mm,49.500000mm,Top,0.0,74.000000mm,49.500000mm
Q1,68.000000mm,45.000000mm,Top,180.0,68.000000mm,45.000000mm
Q2,82.000000mm,45.000000mm,Top,180.0,82.000000mm,45.000000mm
Q3,68.000000mm,38.000000mm,Top,180.0,68.000000mm,38.000000mm
Q4,82.000000mm,38.000000mm,Top,180.0,82.000000mm,38.000000mm
Q5,68.000000mm,31.000000mm,Top,180.0,68.000000mm,31.000000mm
Q6,82.000000mm,31.000000mm,Top,180.0,82.000000mm,31.000000mm
Q7,24.000000mm,34.000000mm,Top,270.0,24.000000mm,34.000000mm
R1,61.500000mm,45.000000mm,Top,0.0,61.500000mm,45.000000mm
R2,76.000000mm,45.000000mm,Top,180.0,76.000000mm,45.000000mm
R3,61.500000mm,38.000000mm,Top,0.0,61.500000mm,38.000000mm
R4,76.000000mm,38.000000mm,Top,180.0,76.000000mm,38.000000mm
R5,61.500000mm,31.000000mm,Top,0.0,61.500000mm,31.000000mm
R6,76.000000mm,31.000000mm,Top,180.0,76.000000mm,31.000000mm
R7,21.720000mm,26.800000mm,Top,0.0,21.720000mm,26.800000mm
SW_BOOT,16.000000mm,54.500000mm,Top,0.0,16.000000mm,54.500000mm
SW_RESET,22.000000mm,54.500000mm,Top,0.0,22.000000mm,54.500000mm
