Designator,Mid X,Mid Y,Layer,Rotation
J1,45.0mm,9.0mm,Top,0.0
J8,8.0mm,57.0mm,Top,0.0
Q1,68.0mm,45.0mm,Top,180.0
Q2,82.0mm,45.0mm,Top,180.0
Q3,68.0mm,38.0mm,Top,180.0
Q4,82.0mm,38.0mm,Top,180.0
Q5,68.0mm,31.0mm,Top,180.0
Q6,82.0mm,31.0mm,Top,180.0
Q7,24.0mm,34.0mm,Top,270.0
R1,61.5mm,45.0mm,Top,0.0
R2,76.0mm,45.0mm,Top,180.0
R3,61.5mm,38.0mm,Top,0.0
R4,76.0mm,38.0mm,Top,180.0
R5,61.5mm,31.0mm,Top,0.0
R6,76.0mm,31.0mm,Top,180.0
R7,21.72mm,26.8mm,Top,0.0
SW_BOOT,16.0mm,54.5mm,Top,0.0
SW_RESET,22.0mm,54.5mm,Top,0.0
R148,39.8mm,57.800000000000004mm,Bottom,180.0
R142,41.2mm,58.7mm,Bottom,180.0
U108,57.3802mm,25.609mm,Top,0.0
VD103,60.2mm,30.195mm,Bottom,270.0
U101,32.15mm,55.046400000000006mm,Top,270.0
C119,39.8001mm,50.3194mm,Bottom,0.0
R147,48.8116mm,58.1163mm,Bottom,0.0
R146,29.1339mm,56.7mm,Bottom,270.0
R141,42.2mm,58.7mm,Bottom,180.0
U102,37.2565mm,53.328500000000005mm,Bottom,180.0
R109,37.3163mm,52.7328mm,Top,180.0
R108,34.4mm,52.344mm,Bottom,180.0
Q103,38.0428mm,54.796800000000005mm,Top,180.0
Q102,42.595mm,57.4mm,Top,180.0
Q101,36.8725mm,57.635mm,Bottom,0.0
Q100,33.5mm,54.995000000000005mm,Bottom,270.0
L100,43.3994mm,38.95mm,Bottom,180.0
F100,45.254999999999995mm,57.6284mm,Bottom,180.0
C120,41.5001mm,38.7995mm,Top,0.0
C107,36.3785mm,55.400000000000006mm,Bottom,0.0
C106,36.4035mm,51.0569mm,Bottom,0.0
U110,35.9531mm,49.004900000000006mm,Bottom,270.0
R145,35.9922mm,46.044700000000006mm,Bottom,0.0
R144,35.9922mm,46.9902mm,Bottom,0.0
R143,29.3968mm,34.8312mm,Bottom,270.0
R107,38.1139mm,56.9784mm,Top,0.0
D108,37.7531mm,58.35mm,Top,180.0
U107,59.1065mm,34.8039mm,Bottom,0.0
U106,59.7924mm,48.2318mm,Top,0.0
C134,59.1065mm,33.0676mm,Bottom,0.0
C126,60.0952mm,50.1751mm,Top,180.0
VD102,56.846199999999996mm,30.195mm,Bottom,270.0
VD101,60.2mm,25.805mm,Bottom,90.0
VD100,56.846199999999996mm,25.805mm,Bottom,90.0
U109,57.3802mm,28.084000000000003mm,Top,0.0
U103,34.5mm,41.425mm,Bottom,270.0
U100,32.1001mm,48.1005mm,Top,90.0
U195,39.3mm,33.95mm,Top,90.0
U190,53.5mm,33.95mm,Top,90.0
U185,32.2mm,33.95mm,Top,90.0
U180,46.4mm,33.95mm,Top,90.0
S101,48.1997mm,57.2143mm,Top,0.0
S100,59.3465mm,44.1mm,Top,90.0
R140,53.3001mm,27.900000000000002mm,Bottom,0.0
R111,29.5mm,39.25mm,Bottom,180.0
R112,29.5mm,40.3mm,Bottom,180.0
R117,29.5mm,45.55mm,Bottom,180.0
R115,29.5mm,43.45mm,Bottom,180.0
R116,29.5mm,44.5mm,Bottom,180.0
R114,29.5mm,42.400000000000006mm,Bottom,180.0
R113,29.5mm,41.35mm,Bottom,180.0
R110,29.5mm,38.2mm,Bottom,180.0
R120,59.8183mm,51.387mm,Top,0.0
R100,29.2001mm,48.1mm,Bottom,90.0
R258,49.9577mm,27.3949mm,Bottom,270.0
R255,29.15mm,25.5mm,Bottom,270.0
R256,50.9mm,30.1mm,Bottom,90.0
R254,29.05mm,27.950000000000003mm,Top,270.0
R245,46.6001mm,26.450000000000003mm,Bottom,0.0
R227,41.8mm,26.450000000000003mm,Bottom,0.0
R200,32.2001mm,26.450000000000003mm,Bottom,0.0
R197,39.3001mm,35.3mm,Bottom,180.0
R196,39.3mm,32.5mm,Bottom,0.0
R195,42.1501mm,32.0mm,Bottom,270.0
R191,53.4mm,35.3mm,Bottom,180.0
R190,53.4mm,32.5mm,Bottom,0.0
R186,32.2mm,35.3mm,Bottom,180.0
R185,32.2mm,32.5mm,Bottom,0.0
R181,46.4mm,35.3mm,Bottom,180.0
R180,46.4mm,32.5mm,Bottom,0.0
