Designator,Mid X,Mid Y,Layer,Rotation
J1,44.7024mm,18.098mm,Top,0.0
J8,7.4mm,71.9622mm,Top,0.0
Q1,68.0mm,61.5872mm,Top,180.0
Q2,82.0mm,61.5872mm,Top,180.0
Q3,68.0316mm,53.5432mm,Top,180.0
Q4,82.0mm,54.5872mm,Top,180.0
Q5,68.0316mm,45.3644mm,Top,180.0
Q6,82.0mm,46.7858mm,Top,180.0
Q7,82.1354mm,38.3022mm,Top,180.0
R1,64.3mm,61.5872mm,Top,180.0
R2,78.0mm,61.5872mm,Top,180.0
R3,64.3316mm,53.5432mm,Top,0.0
R4,78.0mm,54.5872mm,Top,180.0
R5,64.3316mm,45.3644mm,Top,0.0
R6,78.0mm,46.7858mm,Top,180.0
R7,76.6604mm,37.8272mm,Top,270.0
SW_BOOT,16.0mm,71.0872mm,Top,90.0
SW_RESET,20.0mm,71.1872mm,Top,90.0
R148,37.48119mm,72.26119mm,Bottom,180.0
R142,38.881190000000004mm,73.16119mm,Bottom,180.0
U108,55.06139mm,40.070190000000004mm,Top,0.0
VD103,57.881190000000004mm,44.65619mm,Bottom,270.0
U101,29.83119mm,69.50759000000001mm,Top,270.0
C119,37.48129mm,64.78059mm,Bottom,0.0
R147,46.49279mm,72.57749000000001mm,Bottom,0.0
R146,26.81509mm,71.16119mm,Bottom,270.0
R141,39.881190000000004mm,73.16119mm,Bottom,180.0
U102,34.93769mm,67.78969000000001mm,Bottom,180.0
R109,34.99749mm,67.19399mm,Top,180.0
R108,32.08119mm,66.80519000000001mm,Bottom,180.0
Q103,35.72399mm,69.25799mm,Top,180.0
Q102,40.27619mm,71.86119mm,Top,180.0
Q101,34.55369mm,72.09619mm,Bottom,0.0
Q100,31.18119mm,69.45619mm,Bottom,270.0
L100,41.08059mm,53.411190000000005mm,Bottom,180.0
F100,42.936189999999996mm,72.08959mm,Bottom,180.0
C120,39.181290000000004mm,53.260690000000004mm,Top,0.0
C107,34.05969mm,69.86119000000001mm,Bottom,0.0
C106,34.08469mm,65.51809mm,Bottom,0.0
U110,33.63429mm,63.46609000000001mm,Bottom,270.0
R145,33.67339mm,60.50589000000001mm,Bottom,0.0
R144,33.67339mm,61.45139mm,Bottom,0.0
R143,27.07799mm,49.292390000000005mm,Bottom,270.0
R107,35.79509mm,71.43959000000001mm,Top,0.0
D108,35.434290000000004mm,72.81119000000001mm,Top,180.0
U107,56.78769mm,49.26509mm,Bottom,0.0
U106,57.47359mm,62.69299mm,Top,0.0
C134,56.78769mm,47.52879mm,Bottom,0.0
C126,57.77639mm,64.63629mm,Top,180.0
VD102,54.52739mm,44.65619mm,Bottom,270.0
VD101,57.881190000000004mm,40.26619mm,Bottom,90.0
VD100,54.52739mm,40.26619mm,Bottom,90.0
U109,55.06139mm,42.545190000000005mm,Top,0.0
U103,32.18119mm,55.88619mm,Bottom,270.0
U100,29.781290000000002mm,62.56169mm,Top,90.0
U195,36.98119mm,48.411190000000005mm,Top,90.0
U190,51.18119mm,48.411190000000005mm,Top,90.0
U185,29.88119mm,48.411190000000005mm,Top,90.0
U180,44.08119mm,48.411190000000005mm,Top,90.0
S101,45.88089mm,71.67549mm,Top,0.0
S100,57.02769mm,58.56119mm,Top,90.0
R140,50.98129mm,42.36119mm,Bottom,0.0
R111,27.18119mm,53.71119mm,Bottom,180.0
R112,27.18119mm,54.76119mm,Bottom,180.0
R117,27.18119mm,60.01119mm,Bottom,180.0
R115,27.18119mm,57.911190000000005mm,Bottom,180.0
R116,27.18119mm,58.96119mm,Bottom,180.0
R114,27.18119mm,56.86119000000001mm,Bottom,180.0
R113,27.18119mm,55.81119mm,Bottom,180.0
R110,27.18119mm,52.661190000000005mm,Bottom,180.0
R120,57.49949mm,65.84819mm,Top,0.0
R100,26.88129mm,62.56119mm,Bottom,90.0
R258,47.63889mm,41.85609mm,Bottom,270.0
R255,26.83119mm,39.96119mm,Bottom,270.0
R256,48.58119mm,44.56119mm,Bottom,90.0
R254,26.73119mm,42.411190000000005mm,Top,270.0
R245,44.28129mm,40.911190000000005mm,Bottom,0.0
R227,39.48119mm,40.911190000000005mm,Bottom,0.0
R200,29.88129mm,40.911190000000005mm,Bottom,0.0
R197,36.98129mm,49.76119mm,Bottom,180.0
R196,36.98119mm,46.96119mm,Bottom,0.0
R195,39.83129mm,46.46119mm,Bottom,270.0
R191,51.08119mm,49.76119mm,Bottom,180.0
R190,51.08119mm,46.96119mm,Bottom,0.0
R186,29.88119mm,49.76119mm,Bottom,180.0
R185,29.88119mm,46.96119mm,Bottom,0.0
R181,44.08119mm,49.76119mm,Bottom,180.0
R180,44.08119mm,46.96119mm,Bottom,0.0
R139,52.18119mm,39.86119mm,Top,270.0
R138,50.98119mm,39.86119mm,Top,270.0
R137,49.78119mm,39.86119mm,Top,270.0
R136,48.58119mm,39.86119mm,Top,270.0
R135,52.18119mm,40.86119mm,Top,90.0
R132,50.98119mm,40.86119mm,Top,90.0
R126,49.78119mm,40.86119mm,Top,90.0
R124,48.58119mm,40.86119mm,Top,90.0
R119,27.781190000000002mm,53.76119mm,Top,90.0
R118,27.781190000000002mm,57.86119000000001mm,Top,90.0
R253,46.18119mm,39.86119mm,Top,90.0
R252,44.98119mm,39.86119mm,Top,90.0
R251,43.78119mm,39.86119mm,Top,90.0
R250,42.58119mm,39.86119mm,Top,90.0
R249,46.18119mm,40.86119mm,Top,270.0
R248,44.98119mm,40.86119mm,Top,270.0
R247,43.78119mm,40.86119mm,Top,270.0
R246,42.58119mm,40.86119mm,Top,270.0
R235,41.381190000000004mm,39.86119mm,Top,90.0
R234,40.18119mm,39.86119mm,Top,90.0
R233,38.98119mm,39.86119mm,Top,90.0
R232,37.78119mm,39.86119mm,Top,90.0
R231,41.381190000000004mm,40.86119mm,Top,270.0
R230,40.18119mm,40.86119mm,Top,270.0
R229,38.98119mm,40.86119mm,Top,270.0
R228,37.78119mm,40.86119mm,Top,270.0
R226,36.58119mm,39.86119mm,Top,270.0
R225,35.381190000000004mm,39.86119mm,Top,270.0
R224,34.18119mm,39.86119mm,Top,270.0
R223,32.98119mm,39.86119mm,Top,270.0
R222,36.58119mm,40.86119mm,Top,90.0
R221,35.381190000000004mm,40.86119mm,Top,90.0
R220,34.18119mm,40.86119mm,Top,90.0
R219,32.98119mm,40.86119mm,Top,90.0
R218,34.68119mm,40.911190000000005mm,Bottom,0.0
R208,31.781190000000002mm,39.86119mm,Top,270.0
R207,30.58119mm,39.86119mm,Top,270.0
R206,29.38119mm,39.86119mm,Top,270.0
R205,28.18119mm,39.86119mm,Top,270.0
R204,31.781190000000002mm,40.86119mm,Top,90.0
R203,30.58119mm,40.86119mm,Top,90.0
R202,29.38119mm,40.86119mm,Top,90.0
R201,28.18119mm,40.86119mm,Top,90.0
P106,49.08119mm,51.81119mm,Top,270.0
P105,41.46119mm,51.81119mm,Top,270.0
P104,45.47119mm,51.81119mm,Top,270.0
P201,47.43119mm,40.36119mm,Top,90.0
P200,26.88119mm,38.86119mm,Top,90.0
J100,52.631190000000004mm,61.661190000000005mm,Bottom,90.0
D100,30.281190000000002mm,61.85349000000001mm,Bottom,180.0
D205,56.87769mm,47.11759000000001mm,Top,90.0
D206,44.381190000000004mm,43.661190000000005mm,Top,180.0
D203,39.58119mm,43.661190000000005mm,Top,180.0
D200,29.98119mm,43.661190000000005mm,Top,180.0
D116,31.31729mm,52.46069mm,Top,180.0
D115,35.55559mm,52.46069mm,Top,180.0
D114,31.31729mm,54.394090000000006mm,Top,180.0
D113,35.55559mm,54.394090000000006mm,Top,180.0
D112,31.31729mm,56.32739000000001mm,Top,180.0
D111,35.55559mm,56.32739000000001mm,Top,180.0
D110,31.31729mm,58.260690000000004mm,Top,180.0
