Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
J1,44.702400mm,18.098000mm,Top,0.0,44.702400mm,18.098000mm
J8,7.400000mm,71.962200mm,Top,0.0,7.400000mm,71.962200mm
M1,25.681190mm,38.061190mm,Top,0.0,25.681190mm,38.061190mm
M2,2.250001mm,45.187200mm,Top,0.0,2.250001mm,45.187200mm
M3,71.125000mm,65.747200mm,Top,0.0,71.125000mm,65.747200mm
Q1,68.000000mm,61.587200mm,Top,180.0,68.000000mm,61.587200mm
Q2,82.000000mm,61.587200mm,Top,180.0,82.000000mm,61.587200mm
Q3,68.031600mm,53.543200mm,Top,180.0,68.031600mm,53.543200mm
Q4,82.000000mm,54.587200mm,Top,180.0,82.000000mm,54.587200mm
Q5,68.031600mm,45.364400mm,Top,180.0,68.031600mm,45.364400mm
Q6,82.000000mm,46.785800mm,Top,180.0,82.000000mm,46.785800mm
Q7,82.135400mm,38.302200mm,Top,180.0,82.135400mm,38.302200mm
R1,64.300000mm,61.587200mm,Top,180.0,64.300000mm,61.587200mm
R2,78.000000mm,61.587200mm,Top,180.0,78.000000mm,61.587200mm
R3,64.331600mm,53.543200mm,Top,0.0,64.331600mm,53.543200mm
R4,78.000000mm,54.587200mm,Top,180.0,78.000000mm,54.587200mm
R5,64.331600mm,45.364400mm,Top,0.0,64.331600mm,45.364400mm
R6,78.000000mm,46.785800mm,Top,180.0,78.000000mm,46.785800mm
R7,76.660400mm,37.827200mm,Top,-90.0,76.660400mm,37.827200mm
SW_BOOT,16.000000mm,71.087200mm,Top,90.0,16.000000mm,71.087200mm
SW_RESET,20.000000mm,71.187200mm,Top,90.0,20.000000mm,71.187200mm
