Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
D1,22.500000mm,61.587200mm,Top,0.0,22.500000mm,61.587200mm
D2,22.500000mm,55.587200mm,Top,0.0,22.500000mm,55.587200mm
D3,22.500000mm,49.587200mm,Top,0.0,22.500000mm,49.587200mm
D4,22.500000mm,43.587200mm,Top,0.0,22.500000mm,43.587200mm
D5,62.700000mm,71.287200mm,Top,0.0,62.700000mm,71.287200mm
D6,67.400000mm,71.287200mm,Top,0.0,67.400000mm,71.287200mm
D7,62.700000mm,67.887200mm,Top,0.0,62.700000mm,67.887200mm
D8,67.400000mm,67.887200mm,Top,0.0,67.400000mm,67.887200mm
J1,44.702400mm,18.098000mm,Top,0.0,44.702400mm,18.098000mm
J8,7.400000mm,71.962200mm,Top,0.0,7.400000mm,71.962200mm
M1,25.681190mm,38.061190mm,Top,0.0,25.681190mm,38.061190mm
M2,2.250001mm,45.187200mm,Top,0.0,2.250001mm,45.187200mm
M3,71.125000mm,65.747200mm,Top,0.0,71.125000mm,65.747200mm
Q1,68.000000mm,61.587200mm,Top,180.0,68.000000mm,61.587200mm
Q2,82.000000mm,61.587200mm,Top,180.0,82.000000mm,61.587200mm
Q3,68.031600mm,53.543200mm,Top,180.0,68.031600mm,53.543200mm
Q4,82.000000mm,54.587200mm,Top,180.0,82.000000mm,54.587200mm
Q5,68.031600mm,45.364400mm,Top,180.0,68.031600mm,45.364400mm
Q6,82.000000mm,46.785800mm,Top,180.0,82.000000mm,46.785800mm
Q7,82.135400mm,38.302200mm,Top,180.0,82.135400mm,38.302200mm
R1,64.300000mm,61.587200mm,Top,180.0,64.300000mm,61.587200mm
R2,78.000000mm,61.587200mm,Top,180.0,78.000000mm,61.587200mm
R3,64.331600mm,53.543200mm,Top,0.0,64.331600mm,53.543200mm
R4,78.000000mm,54.587200mm,Top,180.0,78.000000mm,54.587200mm
R5,64.331600mm,45.364400mm,Top,0.0,64.331600mm,45.364400mm
R6,78.000000mm,46.785800mm,Top,180.0,78.000000mm,46.785800mm
R7,76.660400mm,37.827200mm,Top,-90.0,76.660400mm,37.827200mm
R8,67.500000mm,57.737200mm,Top,0.0,67.500000mm,57.737200mm
R9,81.500000mm,57.737200mm,Top,0.0,81.500000mm,57.737200mm
R10,67.500000mm,49.687200mm,Top,0.0,67.500000mm,49.687200mm
R11,81.500000mm,50.737200mm,Top,0.0,81.500000mm,50.737200mm
SW_BOOT,16.000000mm,71.087200mm,Top,90.0,16.000000mm,71.087200mm
SW_RESET,20.000000mm,71.187200mm,Top,90.0,20.000000mm,71.187200mm
