Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C1,70.7mm,64.527200mm,Bottom,180.0,70.7mm,64.527200mm
C2,69.6mm,66.287200mm,Bottom,180.0,69.6mm,66.287200mm
C3,74.1mm,58.727200mm,Bottom,180.0,74.1mm,58.727200mm
C4,73.1mm,60.487200mm,Bottom,180.0,73.1mm,60.487200mm
C5,74.1mm,52.617200mm,Bottom,180.0,74.1mm,52.617200mm
C6,74.1mm,54.387200mm,Bottom,180.0,74.1mm,54.387200mm
C7,83.9mm,42.727200mm,Bottom,180.0,83.9mm,42.727200mm
C8,82.7mm,40.987200mm,Bottom,180.0,82.7mm,40.987200mm
D1,3.2mm,30.087200mm,Bottom,90.0,3.2mm,30.087200mm
D2,3.2mm,23.487200mm,Bottom,90.0,3.2mm,23.487200mm
D3,3.2mm,16.887200mm,Bottom,90.0,3.2mm,16.887200mm
D4,3.2mm,10.287200mm,Bottom,90.0,3.2mm,10.287200mm
D5,86.5mm,30.087200mm,Bottom,-90.0,86.5mm,30.087200mm
D6,86.5mm,23.487200mm,Bottom,-90.0,86.5mm,23.487200mm
D7,86.5mm,16.887200mm,Bottom,-90.0,86.5mm,16.887200mm
D8,86.5mm,10.287200mm,Bottom,-90.0,86.5mm,10.287200mm
D9,8.0mm,36.537200mm,Bottom,180.0,8.0mm,36.537200mm
D10,29.0mm,36.537200mm,Bottom,180.0,29.0mm,36.537200mm
D11,45.25mm,36.537200mm,Bottom,180.0,45.25mm,36.537200mm
D12,14.6mm,36.537200mm,Bottom,0.0,14.6mm,36.537200mm
D13,35.6mm,36.537200mm,Bottom,0.0,35.6mm,36.537200mm
D14,51.6mm,36.537200mm,Bottom,0.0,51.6mm,36.537200mm
U1,64.0mm,63.887200mm,Bottom,270.0,64.0mm,63.887200mm
U2,65.9mm,58.087200mm,Bottom,270.0,65.9mm,58.087200mm
U3,66.3mm,51.987200mm,Bottom,270.0,66.3mm,51.987200mm
U4,76.5mm,42.087200mm,Bottom,270.0,76.5mm,42.087200mm
J1,44.702400mm,18.098000mm,Top,0.0,44.702400mm,18.098000mm
J8,7.400000mm,71.962200mm,Top,0.0,7.400000mm,71.962200mm
M1,25.681190mm,38.061190mm,Top,0.0,25.681190mm,38.061190mm
M2,2.250001mm,45.187200mm,Top,0.0,2.250001mm,45.187200mm
M3,71.125000mm,65.747200mm,Top,0.0,71.125000mm,65.747200mm
Q1,68.000000mm,61.587200mm,Top,180.0,68.000000mm,61.587200mm
Q2,82.000000mm,61.587200mm,Top,180.0,82.000000mm,61.587200mm
Q3,68.031600mm,53.543200mm,Top,180.0,68.031600mm,53.543200mm
Q4,82.000000mm,54.587200mm,Top,180.0,82.000000mm,54.587200mm
Q5,68.031600mm,45.364400mm,Top,180.0,68.031600mm,45.364400mm
Q6,82.000000mm,46.785800mm,Top,180.0,82.000000mm,46.785800mm
Q7,82.135400mm,38.302200mm,Top,180.0,82.135400mm,38.302200mm
R1,64.300000mm,61.587200mm,Top,180.0,64.300000mm,61.587200mm
R2,78.000000mm,61.587200mm,Top,180.0,78.000000mm,61.587200mm
R3,64.331600mm,53.543200mm,Top,0.0,64.331600mm,53.543200mm
R4,78.000000mm,54.587200mm,Top,180.0,78.000000mm,54.587200mm
R5,64.331600mm,45.364400mm,Top,0.0,64.331600mm,45.364400mm
R6,78.000000mm,46.785800mm,Top,180.0,78.000000mm,46.785800mm
R7,76.660400mm,37.827200mm,Top,-90.0,76.660400mm,37.827200mm
R8,67.500000mm,57.737200mm,Top,0.0,67.500000mm,57.737200mm
R9,80.500000mm,58.087200mm,Top,0.0,80.500000mm,58.087200mm
R10,67.500000mm,49.687200mm,Top,0.0,67.500000mm,49.687200mm
R11,81.500000mm,50.737200mm,Top,0.0,81.500000mm,50.737200mm
