# removal example: R66006 would be removed from BOM
# R66006,

# replacement example - replace specific fuse part number
# F42333310,"nSMD050-24V","SMD1206","C70076"

# VR module: vr-max9924/0.3 (was vr-discrete/0.5 on rev b)

# Note: hellen-one submodule points at quintinbannink42/hellen-one with
# vr-max9924/0.3 D751 comment aligned to LED-GREEN-0603 (matches mega-mcu100).

# rev n cost-down: keep Hellen module mega-mcu100/0.3 (do not switch to mega-mcu64).
# STM32F429VIT6 LCSC C92002 -> STM32F407VGT6 LQFP-100.
# Locked LCSC C12345 (JLCPCB/LCSC: ST STM32F407VGT6, LQFP-100 14x14, in stock).
# Rejected candidates: C15815 is TI TLC2252CDR op-amp; C2252 is a 22.1184 MHz crystal.
# Q5-Q7 LS DPAKs and gate R5-R7 are removed from schematic and PCB (rows dropped).
# Injector protection unchanged: Q1-Q4, gate R1-R4, ballast R8-R11, US1M + SMAJ33A.

U105,"STM32F407VGT6","LQFP100","C12345"

# Frame injector FETs + gate Rs (4 channels only)
Q1,"VND14NV04-E","DPAK","C155647"
Q2,"VND14NV04-E","DPAK","C155647"
Q3,"VND14NV04-E","DPAK","C155647"
Q4,"VND14NV04-E","DPAK","C155647"
R1,"12","R0603","C22783"
R2,"12","R0603","C22783"
R3,"12","R0603","C22783"
R4,"12","R0603","C22783"

# SPEC injector protection: 2nd 12 ohm high-Z ballast + UF flyback + 33V TVS (DO-214AC)
R8,"12","R0603","C22783"
R9,"12","R0603","C22783"
R10,"12","R0603","C22783"
R11,"12","R0603","C22783"
D1,"US1M","DO214AC","C112545"
D2,"US1M","DO214AC","C112545"
D3,"US1M","DO214AC","C112545"
D4,"US1M","DO214AC","C112545"
D5,"SMAJ33A","DO214AC","C143131"
D6,"SMAJ33A","DO214AC","C143131"
D7,"SMAJ33A","DO214AC","C143131"
D8,"SMAJ33A","DO214AC","C143131"
