# removal example: R66006 would be removed from BOM
# R66006,

# replacement example - replace specific fuse part number
# F42333310,"nSMD050-24V","SMD1206","C70076"

# VR module: vr-max9924/0.3 (was vr-discrete/0.5 on rev b)

# Note: hellen-one submodule points at quintinbannink42/hellen-one with
# vr-max9924/0.3 D751 comment aligned to LED-GREEN-0603 (matches mega-mcu100).

# rev o: keep Hellen module mega-mcu100/0.3 and STM32F407VGT6 (LCSC C12345).
# Power FETs Q1-Q7: VND14NV04-E / C155647 -> NCE4080K TO-252-2L / C191380.
# PCB footprint stays microcore-fp:DPAK (pad pitch 4.56 mm matches LCSC P4.57).
# Q5-Q7 and gate R5-R7 are restored (fuel pump / idle-VVT / boost).
# Injector protection unchanged: gate R1-R4, ballast R8-R11, US1M + SMAJ33A.
# NCE4080K is a discrete MOSFET, not a protected smart FET.
# RDS(on) is specified at Vgs=10 V only. MCU gate is 3.3 V. No gate driver in this rev.
# Comments are ASCII-only.

U105,"STM32F407VGT6","LQFP100","C12345"

# Frame power FETs + gate resistors (7 channels)
Q1,"NCE4080K","DPAK","C191380"
Q2,"NCE4080K","DPAK","C191380"
Q3,"NCE4080K","DPAK","C191380"
Q4,"NCE4080K","DPAK","C191380"
Q5,"NCE4080K","DPAK","C191380"
Q6,"NCE4080K","DPAK","C191380"
Q7,"NCE4080K","DPAK","C191380"
R1,"12","R0603","C22783"
R2,"12","R0603","C22783"
R3,"12","R0603","C22783"
R4,"12","R0603","C22783"
R5,"12","R0603","C22783"
R6,"12","R0603","C22783"
R7,"12","R0603","C22783"

# SPEC injector protection: 2nd 12 ohm high-Z ballast + UF flyback + 33V TVS (DO-214AC)
R8,"12","R0603","C22783"
R9,"12","R0603","C22783"
R10,"12","R0603","C22783"
R11,"12","R0603","C22783"
D1,"US1M","DO214AC","C112545"
D2,"US1M","DO214AC","C112545"
D3,"US1M","DO214AC","C112545"
D4,"US1M","DO214AC","C112545"
D5,"SMAJ33A","DO214AC","C143131"
D6,"SMAJ33A","DO214AC","C143131"
D7,"SMAJ33A","DO214AC","C143131"
D8,"SMAJ33A","DO214AC","C143131"
