# removal example: R66006 would be removed from BOM
# R66006,

# replacement example - replace specific fuse part number
# F42333310,"nSMD050-24V","SMD1206","C70076"

# VR module: vr-max9924/0.3 (was vr-discrete/0.5 on rev b)

# Note: hellen-one submodule points at quintinbannink42/hellen-one with
# vr-max9924/0.3 D751 comment aligned to LED-GREEN-0603 (matches mega-mcu100).

# rev p: Quintin chose AOD4184A (LCSC C99124) plus TVS for budget and reliability.
# Keep Hellen module mega-mcu100/0.3 and STM32F407VGT6 (LCSC C12345).
# Power FETs Q1-Q7: NCE4080K / C191380 -> AOD4184A TO-252 / C99124.
# PCB footprint stays microcore-fp:DPAK (same land; not redrawn).
# AOD4184A RDS(on) max 9.5 mohm at Vgs=4.5 V, ID=15 A. Not specified at 3.3 V.
# VGS(th) max 2.6 V, so a 3.3 V MCU gate turns the FET on but Rds at 3.3 V is not guaranteed.
# No gate driver in this rev.
# Q5-Q7 (FP / Idle / Boost) reuse the same cheap injector clamps already in the BOM:
# US1M flyback (C112545) + SMAJ33A (C143131). No series ballast. No premium clamps.
# Prefer proven clamps over more copper complexity.
# Injector protection unchanged: gate R1-R4, ballast R8-R11, US1M + SMAJ33A.
# Comments are ASCII-only.

U105,"STM32F407VGT6","LQFP100","C12345"

# Frame power FETs + gate resistors (7 channels)
Q1,"AOD4184A","DPAK","C99124"
Q2,"AOD4184A","DPAK","C99124"
Q3,"AOD4184A","DPAK","C99124"
Q4,"AOD4184A","DPAK","C99124"
Q5,"AOD4184A","DPAK","C99124"
Q6,"AOD4184A","DPAK","C99124"
Q7,"AOD4184A","DPAK","C99124"
R1,"12","R0603","C22783"
R2,"12","R0603","C22783"
R3,"12","R0603","C22783"
R4,"12","R0603","C22783"
R5,"12","R0603","C22783"
R6,"12","R0603","C22783"
R7,"12","R0603","C22783"

# SPEC injector protection: 2nd 12 ohm high-Z ballast + UF flyback + 33V TVS (DO-214AC)
R8,"12","R0603","C22783"
R9,"12","R0603","C22783"
R10,"12","R0603","C22783"
R11,"12","R0603","C22783"
D1,"US1M","DO214AC","C112545"
D2,"US1M","DO214AC","C112545"
D3,"US1M","DO214AC","C112545"
D4,"US1M","DO214AC","C112545"
D5,"SMAJ33A","DO214AC","C143131"
D6,"SMAJ33A","DO214AC","C143131"
D7,"SMAJ33A","DO214AC","C143131"
D8,"SMAJ33A","DO214AC","C143131"

# LS Q5-Q7 flyback + TVS (same parts as D1-D8; no ballast)
D9,"US1M","DO214AC","C112545"
D10,"US1M","DO214AC","C112545"
D11,"US1M","DO214AC","C112545"
D12,"SMAJ33A","DO214AC","C143131"
D13,"SMAJ33A","DO214AC","C143131"
D14,"SMAJ33A","DO214AC","C143131"
