Ref,Val,Package,PosX,PosY,Rot,Side
"J1","TE_776231-1","TE_776231",152.202400,-69.989200,0.000000,top
"J8","USB_B_Mini","USB-MINI-B-VERTICAL",114.900000,-16.125000,0.000000,top
"M1","Module:mega-mcu100/0.3","mega-mcu100",133.181190,-50.026010,0.000000,top
"M2","Module-power_12and5V-0.3","power_12and5V",109.750001,-42.900000,0.000000,top
"M3","Module-vr-max9924-0.3","vr-max9924",178.625000,-22.340000,0.000000,top
"Q1","VND14NV04-E","DPAK",175.500000,-26.500000,0.000000,top
"Q2","VND14NV04-E","DPAK",189.500000,-26.500000,0.000000,top
"Q3","VND14NV04-E","DPAK",175.531600,-34.544000,0.000000,top
"Q4","VND14NV04-E","DPAK",189.500000,-33.500000,0.000000,top
"Q5","VND14NV04-E","DPAK",175.531600,-42.722800,0.000000,top
"Q6","VND14NV04-E","DPAK",189.500000,-41.301400,0.000000,top
"Q7","VND14NV04-E","DPAK",189.635400,-49.785000,0.000000,top
"R1","12","R0603",171.800000,-26.500000,180.000000,top
"R2","12","R0603",185.500000,-26.500000,180.000000,top
"R3","12","R0603",171.831600,-34.544000,0.000000,top
"R4","12","R0603",185.500000,-33.500000,180.000000,top
"R5","12","R0603",171.831600,-42.722800,0.000000,top
"R6","12","R0603",185.500000,-41.301400,180.000000,top
"R7","12","R0603",184.160400,-50.260000,-90.000000,top
"SW_BOOT","BTN","SMD-2_2.9x3.9x1.7",123.500000,-17.000000,90.000000,top
"SW_RESET","BTN","SMD-2_2.9x3.9x1.7",127.500000,-16.900000,90.000000,top
