"Comment","Designator","Footprint","LCSC Part #"
"TE_776231-1","J1","kicad6-libraries:TE_776231",""
"USB_B_Mini","J8","hellen-one-common:USB-MINI-B-VERTICAL","C13453"
"Module:mega-mcu100/0.3","M1","hellen-one-mega-mcu100-0.3:mega-mcu100",""
"Module-power_12and5V-0.3","M2","hellen-one-power_12and5V-0.3:power_12and5V",""
"Module-vr-max9924-0.3","M3","hellen-one-vr-max9924-0.3:vr-max9924",""
"VND14NV04-E","Q1","microcore-fp:DPAK",""
"VND14NV04-E","Q2","microcore-fp:DPAK",""
"VND14NV04-E","Q3","microcore-fp:DPAK",""
"VND14NV04-E","Q4","microcore-fp:DPAK",""
"VND14NV04-E","Q5","microcore-fp:DPAK",""
"VND14NV04-E","Q6","microcore-fp:DPAK",""
"VND14NV04-E","Q7","microcore-fp:DPAK",""
"12","R1","microcore-fp:R0603",""
"12","R2","microcore-fp:R0603",""
"12","R3","microcore-fp:R0603",""
"12","R4","microcore-fp:R0603",""
"12","R5","microcore-fp:R0603",""
"12","R6","microcore-fp:R0603",""
"12","R7","microcore-fp:R0603",""
"Button_SPST","SW_BOOT","hellen-one-common:SMD-2_2.9x3.9x1.7","C115357"
"Button_SPST","SW_RESET","hellen-one-common:SMD-2_2.9x3.9x1.7","C115357"
